EmployeeID,FullName,Gender,Citizenship,LanguagesSpoken,Department,AnnualSalary,SocialSecurityNumber,Age,YearsOfExperience
1,Patricia Martinez,Female,USA,"French, Mandarin",Legal,84879.15,762-96-1665,24,2
2,Michael Torres,Female,USA,"French, Spanish",Sales,110291.77,260-25-1742,42,23
3,Antonio Vaughn,Male,USA,Spanish,Product,71402.43,571-96-2176,31,13
4,Misty Haynes,Male,China,Arabic,Operations,111872.27,195-53-8530,54,33
5,Toni White,Female,USA,None,Operations,107293.55,480-33-1315,54,34
6,Antonio Cunningham,Female,China,Arabic,Product,88576.4,240-06-6923,24,4
7,Deborah Rice,Female,Philippines,Spanish,Administrative,46087.22,586-55-7088,31,11
8,Todd Drake,Male,USA,"Mandarin, Spanish",Product,50980.86,883-89-9140,39,19
9,Sarah Palmer,Male,India,French,Administrative,150719.07,865-82-9853,69,49
10,Bradley Reeves,Male,USA,None,Product,83974.1,702-93-0738,61,41
11,Ana Pennington,Female,USA,Mandarin,I/T,52304.01,448-54-4104,57,37
12,Dr. Richard Crawford,Male,USA,"Spanish, Mandarin",Administrative,159112.25,461-14-1867,37,16
13,Corey Tucker,Female,Canada,None,Sales,106679.14,069-53-5674,27,7
14,Tammy Hamilton,Female,USA,French,Product,133851.1,362-62-3148,37,15
15,Shelby Richardson,Female,China,"French, Hindi",Product,146089.44,472-13-0464,63,43
16,Michael Rogers,Female,USA,None,Administrative,98191.49,467-15-7537,52,30
17,Mark Leon,Female,USA,None,I/T,93603.91,420-49-8803,43,24
18,John Bird,Female,USA,Arabic,I/T,74022.8,661-09-9604,27,8
19,Steven Berger,Female,USA,"Mandarin, Arabic",Sales,79402.68,516-21-8655,57,37
20,John Watkins,Male,USA,Spanish,Marketing,86909.46,598-37-9031,64,43
21,Dr. Austin Yoder,Female,USA,None,Product,152074.57,293-48-6223,57,39
22,Danielle Patterson,Female,USA,None,Product,67815.91,021-91-9155,39,19
23,Shari Williams,Male,USA,"Arabic, Mandarin",Legal,59238.22,399-26-7211,62,43
24,James Banks,Female,USA,Spanish,Sales,73909.93,356-22-5069,51,33
25,James Bauer,Male,USA,"Spanish, French",Product,129003.84,139-75-0588,56,37
26,Brian Brown,Male,China,"Spanish, French",Human Resource,155592.57,331-43-7060,53,35
27,Morgan Gallagher,Female,India,Spanish,Finance,82211.39,780-58-9176,52,31
28,Rachel Sawyer,Female,USA,None,Operations,151091.18,225-48-7365,33,12
29,Kellie Andersen,Male,Taiwan,None,Operations,133162.65,534-33-5865,35,14
30,Andrew Taylor,Female,USA,Spanish,Sales,90118.82,166-64-3014,31,12
31,Stacey Pierce,Female,USA,None,I/T,122727.21,488-62-0478,31,13
32,Anthony Sutton,Female,USA,None,Product,103143.89,119-42-6275,41,21
33,Rebecca Orr,Male,Taiwan,"Mandarin, Spanish",Administrative,50756.8,119-20-1565,65,46
34,Dawn Bender,Female,China,"Arabic, French",Sales,111218.34,715-42-1952,46,27
35,Jordan Morris,Female,USA,Spanish,Marketing,114482.63,236-79-1966,53,32
36,Emily Holland,Female,China,None,Marketing,85518.33,854-04-4393,55,33
37,Benjamin Strong,Male,India,None,Administrative,133737.23,194-89-9356,24,3
38,Tina Davis,Male,India,French,Administrative,77233.72,214-61-8218,46,26
39,Marcus Sexton,Male,USA,"Hindi, French",Product,92630.06,078-15-4232,55,34
40,Danny Patterson,Male,USA,"Spanish, Mandarin",Product,70565.81,426-09-5948,27,6
41,Arthur Lynch,Male,USA,Arabic,Marketing,94537.49,685-95-4000,50,29
42,Jonathan Harris,Female,India,Mandarin,Sales,85036.94,898-33-8240,46,24
43,Mary Harris,Male,USA,"Mandarin, Hindi",Administrative,42135.14,333-77-7252,32,10
44,Nicole Woods,Male,USA,Arabic,Administrative,140552.54,365-76-7732,63,41
45,Troy Barry,Male,USA,None,Human Resource,135034.19,508-76-7016,24,3
46,Jennifer Harris,Female,USA,None,Finance,75688.4,408-13-4570,39,19
47,David Nichols,Female,USA,"Hindi, Spanish",Administrative,125344.04,765-90-6500,67,49
48,Heather Alvarez,Male,USA,Mandarin,Human Resource,73508.96,201-54-8839,64,45
49,Ann Guzman,Female,USA,None,Administrative,83278.97,448-24-7668,52,30
50,Michael Patterson,Female,USA,"Mandarin, French",Sales,80047.31,736-33-1680,29,8
51,Timothy Arnold,Female,China,None,Administrative,109937.56,308-93-3644,69,51
52,Stephanie Jacobs,Male,India,"French, Spanish",Operations,88949.1,218-97-4840,66,47
53,Susan Long,Female,India,"Spanish, Hindi",Product,108010.93,071-73-2732,44,25
54,Michael Leach,Female,South Korea,None,Finance,140923.99,262-61-8219,44,24
55,Susan Holmes,Female,USA,"Hindi, French",Product,144588.89,058-17-8386,58,39
56,Carolyn Chambers,Female,USA,Mandarin,Operations,81796.96,801-96-1439,63,45
57,Joshua Gomez,Male,China,"Hindi, French",Operations,102510.41,381-50-5802,39,17
58,Thomas Randall,Female,USA,"Mandarin, Mandarin",Product,102802.45,299-68-0596,49,31
59,Jessica Kim,Female,USA,None,Product,155817.28,887-03-2923,46,26
60,Jennifer Barber,Male,USA,Mandarin,Product,98403.12,142-46-7763,53,31
61,Kimberly Allen,Male,USA,Hindi,Product,85709.4,524-68-4765,29,8
62,Peggy Rodriguez MD,Male,USA,None,Marketing,129175.63,597-68-0181,36,18
63,Wendy Contreras,Female,Canada,Spanish,Marketing,71814.67,858-13-1046,34,14
64,Joseph Madden,Male,USA,None,Administrative,152892.05,888-69-9468,38,18
65,Thomas Spence,Male,India,Spanish,I/T,112022.68,599-27-3038,59,37
66,Jeremy Carlson,Male,USA,Mandarin,Sales,54015.56,686-60-5310,48,29
67,Kristen Baker,Male,USA,"Mandarin, Arabic",I/T,49797.32,575-18-7140,26,4
68,Connie Reese,Female,USA,"Arabic, French",Product,141995.23,843-88-8552,33,13
69,Amy Garcia,Female,USA,"French, Hindi",Legal,112176.5,699-44-2833,57,35
70,Kristina Schultz,Female,USA,French,I/T,60565.53,734-80-5160,68,50
71,Steven Lee,Female,India,Spanish,Human Resource,55310.35,003-90-5571,61,42
72,Darlene Morales,Female,India,None,I/T,106210.55,676-04-5000,53,33
73,Kenneth Brown,Female,China,None,Sales,154422.62,506-24-1658,43,21
74,Andrew Ryan,Female,USA,None,Product,126481.25,392-47-5440,66,46
75,Debra Taylor,Male,India,French,Human Resource,86799.4,034-69-5737,54,32
76,Roy Wilson,Female,USA,Hindi,Operations,51043.36,243-14-7438,39,19
77,Juan Kennedy,Male,USA,Arabic,Administrative,96376.61,698-75-0224,54,35
78,Crystal Griffith,Female,India,"Hindi, Arabic",Sales,56253.4,240-16-5076,34,15
79,Rachel Lang,Female,USA,Spanish,Sales,100762.94,073-82-3390,69,51
80,Raymond Crawford,Female,USA,Mandarin,Sales,96223.29,003-24-2371,33,12
81,Caleb Hamilton,Male,USA,None,Administrative,47996.52,062-63-6882,65,45
82,Denise Roach,Female,India,"Hindi, French",Product,83669.76,689-77-7818,66,48
83,Deborah Garcia,Male,USA,None,Administrative,73669.12,261-92-6731,42,24
84,Elizabeth Andrews,Male,USA,French,Human Resource,82290.46,319-33-8584,68,49
85,Micheal Phillips,Male,USA,None,Sales,57313.83,314-16-7532,61,40
86,Laura Smith,Male,India,"Spanish, French",Operations,89667.28,528-47-7009,29,9
87,Anthony Miller,Female,India,None,Operations,62698.31,142-74-8300,26,6
88,Jeffery Potts,Male,India,Arabic,Operations,122060.92,590-24-4299,36,14
89,Maria Guzman,Female,USA,French,Sales,49099.85,767-41-6761,66,45
90,Anthony Chang,Female,Philippines,None,Product,149793.67,288-51-5620,43,22
91,Brenda Smith,Female,USA,None,Human Resource,102172.56,754-47-5047,66,47
92,Michael Oneill,Male,USA,"Hindi, French",Sales,49985.12,406-15-9495,57,35
93,Christina Morris,Male,India,None,Marketing,45574.5,485-61-5865,33,12
94,Brittany Curtis,Female,USA,None,Product,115178.88,243-01-8477,35,13
95,Michael White,Female,USA,"French, French",Human Resource,58966.49,782-21-5763,45,26
96,Laurie Ferguson,Male,USA,"French, Mandarin",Operations,86215.85,419-56-1392,63,43
97,Lucas Ramirez,Male,USA,"Hindi, Mandarin",Operations,101121.13,806-43-2723,59,40
98,Travis Flores,Male,Philippines,None,Human Resource,153507.24,319-51-3617,69,50
99,Michael Sutton,Male,Philippines,"Arabic, Mandarin",Administrative,101845.31,403-06-7951,24,4
100,Andrew Griffin,Female,USA,"Hindi, Hindi",I/T,108003.7,141-59-8711,31,12
101,Kimberly Pineda,Female,India,None,I/T,135366.92,239-67-5412,40,18
102,James Chen,Male,USA,None,Legal,45683.32,717-37-1543,47,28
103,James Davis,Female,South Korea,None,Marketing,145944.03,514-07-0318,65,44
104,Olivia Palmer,Female,India,Hindi,Human Resource,123239.03,777-93-6096,55,34
105,James Ray,Female,USA,Arabic,Marketing,159542.18,815-67-7275,58,39
106,Carolyn Tran,Male,USA,"Arabic, Spanish",Operations,99222.94,313-37-7886,60,38
107,Elizabeth Page,Female,India,None,Human Resource,99236.06,488-52-7331,43,25
108,Laura Scott,Female,USA,French,Administrative,100811.75,783-78-2239,49,31
109,Anita Cruz,Female,India,None,Human Resource,80486.9,049-85-6625,68,49
110,Megan Hart,Female,USA,None,Sales,151188.5,662-20-9425,54,34
111,Nicole Martinez,Female,USA,French,Operations,99263.77,748-69-9924,56,36
112,Lee Forbes,Female,Philippines,French,Human Resource,133423.44,674-65-9543,26,6
113,Leslie Matthews,Female,USA,"Mandarin, Arabic",Human Resource,123131.23,189-09-7239,39,17
114,Amy Mckee,Male,USA,None,Sales,81995.29,477-09-7302,37,16
115,Tami James MD,Male,India,Arabic,Legal,95738.49,872-52-1567,69,49
116,Connor Poole,Male,Philippines,"Spanish, Arabic",Operations,60475.7,372-71-3323,31,11
117,Thomas Hanson,Female,Canada,"Mandarin, French",I/T,153398.45,302-63-7367,41,22
118,James Jordan,Male,Mexico,None,Human Resource,87694.84,343-43-7829,33,13
119,Michelle Hensley,Male,USA,"Spanish, Spanish",Operations,97857.35,039-58-1225,58,37
120,Jaime Carter,Male,USA,None,Operations,126796.55,200-74-9464,40,20
121,Lisa Hardy,Female,India,Arabic,Product,89123.33,277-02-3385,64,43
122,Melissa Hunt,Male,USA,Spanish,Operations,91163.82,294-90-8001,41,21
123,Mrs. Caitlin Meyer,Male,Canada,Hindi,Administrative,117214.67,376-47-0543,64,43
124,Charles Frederick,Female,China,"Mandarin, Spanish",Product,41228.49,708-81-9694,66,48
125,Elizabeth Jordan,Male,USA,"French, Mandarin",Product,131993.76,257-74-5701,60,40
126,Jonathon Jones,Male,USA,"Spanish, Hindi",Marketing,137750.93,085-95-9270,31,13
127,Allison Cross,Male,USA,Spanish,Operations,84200.08,212-61-1068,65,43
128,Benjamin Cook,Female,South Korea,None,Operations,107521.84,682-30-7429,36,15
129,Sarah Lyons,Male,USA,Mandarin,Administrative,95179.64,697-02-0788,57,37
130,Denise Beltran,Female,USA,"Hindi, Hindi",Finance,85829.52,441-38-7489,65,45
131,Jason Evans,Female,USA,Arabic,Human Resource,72476.75,892-42-5189,31,9
132,Aaron Massey,Female,India,None,Marketing,147673.48,035-81-0975,25,5
133,David Ramsey,Male,India,French,Marketing,155072.26,012-38-4906,55,37
134,Heidi Barrera,Male,South Korea,Arabic,Product,150068.28,339-69-2534,46,24
135,Carolyn Larsen,Male,USA,"Spanish, Hindi",Administrative,149636.17,139-65-4771,27,6
136,Jose Martin,Male,USA,"Mandarin, Arabic",Marketing,58569.64,751-45-9688,43,22
137,Joseph Brown,Female,USA,Mandarin,I/T,69234.77,129-91-1482,42,22
138,Benjamin Anderson,Female,USA,Mandarin,Finance,68172.19,540-71-2944,64,46
139,Amy Moore,Female,USA,"Arabic, French",Human Resource,110518.82,522-09-7116,39,17
140,Ian Mcgrath,Female,USA,None,Marketing,78462.54,549-88-5284,65,47
141,Dawn Ryan,Female,USA,"Spanish, Arabic",Marketing,109453.4,216-69-4366,52,31
142,Tom Green,Female,China,None,Legal,81545.4,582-39-9362,26,5
143,Savannah Stokes,Male,Philippines,Spanish,Administrative,78058.56,583-03-3557,47,25
144,Kristen Wise,Female,India,None,Product,159718.44,185-39-1039,26,5
145,Donna Martinez,Male,India,Hindi,Legal,103951.26,853-95-8219,47,25
146,Jason Boyer,Male,USA,Hindi,Marketing,147089.72,174-10-7912,36,16
147,Albert Terry,Male,China,"Spanish, Hindi",Marketing,86985.54,309-38-0500,35,16
148,Bethany Brock,Female,China,None,Operations,78675.85,496-55-0243,66,44
149,Jennifer Lee,Male,USA,None,Sales,107303.14,092-79-4398,26,8
150,Amy Joseph,Male,China,Spanish,Operations,92090.13,153-97-6599,53,35
151,Kristopher Davis,Female,China,"Arabic, Arabic",Human Resource,104889.94,119-87-1829,51,29
152,David Taylor,Male,China,"Spanish, Hindi",Legal,105244.98,715-77-0444,47,29
153,Francisco Smith MD,Male,USA,None,Product,91016.43,186-01-0130,65,43
154,Dr. Christine Cobb,Female,India,Mandarin,Administrative,59192.2,169-42-7697,32,12
155,Christopher Tran,Male,India,"Mandarin, Spanish",Human Resource,79977.19,771-40-6490,26,4
156,Scott Wallace,Female,USA,"Mandarin, Spanish",Product,144635.95,058-18-7504,63,41
157,Jamie Snow,Female,USA,"Hindi, Arabic",I/T,62601.83,518-27-6836,34,16
